station_id,station_name,basin,country,latitude,longitude,date,year,month,day,day_of_year,rainfall_mm,river_level_m,soil_moisture_percent,temperature_celsius,flood_risk_score,flood_event_occurred,severity_level,season,monsoon_season,data_quality_score
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2002-10-23,2002,10,23,296,31.51,8.79,56.45,34.32,6.3,0,High,Autumn,1,0.963
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2013-07-08,2013,7,8,189,31.52,8.47,55.88,27.82,5.16,0,High,Summer,1,0.886
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2009-11-26,2009,11,26,330,10.61,4.13,36.33,24.8,2.83,0,Low,Autumn,0,0.898
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2023-04-15,2023,4,15,105,7.62,6.28,20.27,7.85,3.66,0,Moderate,Spring,0,0.907
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2009-11-01,2009,11,1,305,7.25,3.96,34.57,30.91,2.53,0,Low,Autumn,0,0.913
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2009-05-14,2009,5,14,134,10.43,6.28,35.49,13.29,4.32,0,Moderate,Spring,0,0.974
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2007-11-05,2007,11,5,309,16.08,4.35,39.4,32.88,3.06,0,Moderate,Autumn,0,0.989
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2010-06-03,2010,6,3,154,19.95,8.09,42.98,18.31,4.23,0,Moderate,Summer,1,0.914
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2023-05-02,2023,5,2,122,9.83,6.32,39.37,13.35,4.3,0,Moderate,Spring,0,0.912
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2019-10-25,2019,10,25,298,33.65,6.53,48.79,35.04,4.95,0,Moderate,Autumn,1,0.972
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2020-06-12,2020,6,12,164,17.68,8.8,39.58,22.08,5.11,0,High,Summer,1,0.912
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2006-07-26,2006,7,26,207,21.39,5.3,46.87,33.12,4.3,0,Moderate,Summer,1,0.953
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2015-12-14,2015,12,14,348,4.75,3.37,22.93,24.68,1.73,0,Low,Winter,0,0.895
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2014-09-24,2014,9,24,267,182.7,24.46,100.0,36.34,8.55,1,Extreme,Autumn,1,0.967
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2000-11-16,2000,11,16,321,3.45,2.17,20.95,32.87,1.0,0,Low,Autumn,0,0.903
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2005-03-03,2005,3,3,62,8.11,4.69,20.13,7.03,2.54,0,Low,Spring,0,0.912
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2001-04-08,2001,4,8,98,8.54,6.36,23.71,11.89,2.82,0,Low,Spring,0,0.978
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2002-03-25,2002,3,25,84,5.45,2.51,20.02,9.06,1.63,0,Low,Spring,0,0.883
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2003-09-19,2003,9,19,262,29.35,5.67,56.51,35.54,4.44,0,Moderate,Autumn,1,0.934
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2012-12-02,2012,12,2,337,4.88,3.3,26.43,25.25,1.76,0,Low,Winter,0,0.922
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2013-05-24,2013,5,24,144,19.51,7.52,37.23,17.53,4.86,0,Moderate,Spring,0,0.942
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2001-11-30,2001,11,30,334,5.34,3.22,22.74,27.24,1.66,0,Low,Autumn,0,0.89
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2019-01-27,2019,1,27,27,7.75,2.99,18.31,14.77,2.04,0,Low,Winter,0,0.984
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2009-04-28,2009,4,28,118,2.78,4.81,20.79,12.22,2.09,0,Low,Spring,0,0.894
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2021-01-02,2021,1,2,2,8.29,3.23,8.95,17.83,2.27,0,Low,Winter,0,0.958
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2016-05-18,2016,5,18,139,6.86,4.08,26.87,16.42,2.36,0,Low,Spring,0,0.934
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2011-05-25,2011,5,25,145,6.63,6.29,26.33,15.0,3.6,0,Moderate,Spring,0,0.968
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2018-04-25,2018,4,25,115,5.05,6.67,27.51,11.85,3.02,0,Moderate,Spring,0,0.969
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2008-08-17,2008,8,17,230,25.68,5.43,47.96,36.95,4.58,0,Moderate,Summer,1,0.961
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2015-07-31,2015,7,31,212,21.66,7.5,58.66,31.86,4.94,0,Moderate,Summer,1,0.91
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2005-05-24,2005,5,24,144,4.18,5.02,20.96,15.49,2.65,0,Low,Spring,0,0.896
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2015-03-10,2015,3,10,69,4.29,2.92,17.25,10.07,1.88,0,Low,Spring,0,0.977
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2018-11-22,2018,11,22,326,6.41,2.97,21.12,31.33,1.52,0,Low,Autumn,0,0.931
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2021-07-15,2021,7,15,196,21.51,6.04,48.54,28.91,4.58,0,Moderate,Summer,1,0.951
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2000-04-14,2000,4,14,105,12.92,5.62,37.13,9.5,3.65,0,Moderate,Spring,0,0.955
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2022-05-11,2022,5,11,131,10.69,4.91,24.33,10.26,2.89,0,Low,Spring,0,0.902
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2006-02-08,2006,2,8,39,13.6,2.88,27.84,11.88,2.6,0,Low,Winter,0,0.957
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2004-08-27,2004,8,27,240,1179.02,95.04,100.0,34.17,8.44,1,Extreme,Summer,1,0.915
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2018-04-03,2018,4,3,93,7.81,5.3,21.2,10.93,3.12,0,Moderate,Spring,0,0.881
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2010-08-13,2010,8,13,225,25.37,6.36,58.53,34.37,4.7,0,Moderate,Summer,1,0.937
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2021-11-21,2021,11,21,325,11.97,4.74,27.84,29.95,3.02,0,Moderate,Autumn,0,0.968
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2012-07-10,2012,7,10,192,22.55,5.45,47.74,27.5,4.3,0,Moderate,Summer,1,0.91
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2011-08-19,2011,8,19,231,24.73,5.83,55.47,33.6,4.68,0,Moderate,Summer,1,0.909
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2011-07-18,2011,7,18,199,156.75,24.85,100.0,26.92,8.42,1,Extreme,Summer,1,0.902
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2006-04-11,2006,4,11,101,6.28,5.56,24.89,7.41,2.42,0,Low,Spring,0,0.98
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2016-12-23,2016,12,23,358,6.33,3.08,26.93,21.93,2.06,0,Low,Winter,0,0.897
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2000-01-02,2000,1,2,2,4.78,2.65,16.36,22.63,2.11,0,Low,Winter,0,0.977
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2000-04-14,2000,4,14,105,7.48,4.58,28.71,9.0,2.71,0,Low,Spring,0,0.9
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2017-03-09,2017,3,9,68,13.6,4.65,19.2,9.87,3.03,0,Moderate,Spring,0,0.917
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2015-03-08,2015,3,8,67,5.79,2.45,16.72,9.45,2.51,0,Low,Spring,0,0.946
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2016-05-09,2016,5,9,130,6.92,7.33,32.9,16.78,3.55,0,Moderate,Spring,0,0.951
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2003-10-22,2003,10,22,295,31.56,8.11,48.76,35.54,5.11,0,High,Autumn,1,0.913
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2002-11-27,2002,11,27,331,2.61,2.85,23.7,26.22,2.24,0,Low,Autumn,0,0.881
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2016-02-27,2016,2,27,58,4.82,2.39,18.33,9.1,2.48,0,Low,Winter,0,0.967
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2011-06-10,2011,6,10,161,17.29,6.54,43.99,18.42,4.23,0,Moderate,Summer,1,0.894
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2016-11-14,2016,11,14,319,7.7,4.1,32.95,26.83,3.04,0,Moderate,Autumn,0,0.953
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2015-04-27,2015,4,27,117,8.0,5.36,19.91,11.42,2.95,0,Low,Spring,0,0.982
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2018-08-10,2018,8,10,222,28.82,6.75,59.51,35.42,4.58,0,Moderate,Summer,1,0.955
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2001-04-17,2001,4,17,107,7.26,6.01,21.01,8.41,2.44,0,Low,Spring,0,0.946
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2004-03-13,2004,3,13,73,13.14,4.49,23.05,9.55,2.5,0,Low,Spring,0,0.88
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2020-01-29,2020,1,29,29,9.48,3.32,16.46,14.16,2.23,0,Low,Winter,0,0.88
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2020-01-30,2020,1,30,30,22.18,5.19,29.11,14.92,4.43,0,Moderate,Winter,0,0.951
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2019-04-28,2019,4,28,118,5.13,4.07,11.89,12.82,2.35,0,Low,Spring,0,0.973
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2001-01-04,2001,1,4,4,5.64,3.47,18.85,17.43,2.2,0,Low,Winter,0,0.976
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2017-09-21,2017,9,21,264,32.36,6.9,55.67,36.9,5.13,0,High,Autumn,1,0.955
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2006-07-19,2006,7,19,200,23.03,6.57,53.06,28.85,4.74,0,Moderate,Summer,1,0.94
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2011-05-14,2011,5,14,134,6.01,6.45,30.15,13.44,3.18,0,Moderate,Spring,0,0.958
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2021-07-17,2021,7,17,198,22.14,6.47,45.4,30.05,4.26,0,Moderate,Summer,1,0.942
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2009-12-10,2009,12,10,344,6.2,2.97,26.28,25.55,2.58,0,Low,Winter,0,0.885
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2008-04-24,2008,4,24,115,12.42,5.95,31.04,11.41,4.01,0,Moderate,Spring,0,0.917
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2001-05-10,2001,5,10,130,2.63,3.69,19.67,11.79,1.54,0,Low,Spring,0,0.984
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2022-01-10,2022,1,10,10,3.86,2.99,21.69,16.09,2.31,0,Low,Winter,0,0.979
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2022-01-13,2022,1,13,13,8.61,3.32,18.71,14.33,2.81,0,Low,Winter,0,0.948
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2006-05-28,2006,5,28,148,4.48,5.5,37.72,16.75,2.6,0,Low,Spring,0,0.915
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2011-04-10,2011,4,10,100,5.22,5.56,21.56,11.46,2.56,0,Low,Spring,0,0.965
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2005-05-04,2005,5,4,124,3.76,5.18,23.6,8.01,2.22,0,Low,Spring,0,0.987
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2011-04-11,2011,4,11,101,6.71,5.74,26.06,9.36,3.05,0,Moderate,Spring,0,0.946
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2020-01-27,2020,1,27,27,5.88,2.58,15.74,13.2,1.99,0,Low,Winter,0,0.948
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2017-06-03,2017,6,3,154,19.08,7.0,42.7,18.47,4.2,0,Moderate,Summer,1,0.894
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2011-09-12,2011,9,12,255,30.91,8.5,53.42,34.75,5.69,0,High,Autumn,1,0.96
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2013-01-01,2013,1,1,1,15.53,3.84,24.31,20.38,2.53,0,Low,Winter,0,0.933
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2016-02-07,2016,2,7,38,5.07,2.28,13.14,11.7,1.01,0,Low,Winter,0,0.938
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2019-07-22,2019,7,22,203,22.65,6.99,47.87,29.5,4.85,0,Moderate,Summer,1,0.964
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2023-11-01,2023,11,1,305,6.33,3.68,29.7,36.14,2.54,0,Low,Autumn,0,0.98
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2024-04-21,2024,4,21,112,13.45,6.71,28.46,10.82,3.11,0,Moderate,Spring,0,0.896
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2020-02-12,2020,2,12,43,5.84,2.71,7.87,10.47,1.65,0,Low,Winter,0,0.986
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2019-05-21,2019,5,21,141,9.9,5.94,32.92,19.0,3.99,0,Moderate,Spring,0,0.9
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2021-04-08,2021,4,8,98,6.01,6.25,25.48,7.65,3.74,0,Moderate,Spring,0,0.984
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2002-12-20,2002,12,20,354,10.12,4.27,27.98,22.28,2.53,0,Low,Winter,0,0.974
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2006-01-02,2006,1,2,2,9.75,3.92,23.95,17.87,2.53,0,Low,Winter,0,0.889
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2011-11-18,2011,11,18,322,2.46,2.71,29.31,27.35,2.31,0,Low,Autumn,0,0.884
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2015-05-22,2015,5,22,142,3.0,4.24,27.57,13.98,2.19,0,Low,Spring,0,0.89
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2016-06-01,2016,6,1,153,24.81,7.87,43.76,16.42,5.54,0,High,Summer,1,0.892
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2006-11-06,2006,11,6,310,6.43,2.61,21.87,31.99,2.26,0,Low,Autumn,0,0.894
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2020-11-23,2020,11,23,328,3.56,2.84,26.31,29.73,2.25,0,Low,Autumn,0,0.971
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2011-02-07,2011,2,7,38,3.87,2.26,22.89,12.28,1.79,0,Low,Winter,0,0.905
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2002-08-14,2002,8,14,226,28.35,6.68,61.49,34.47,4.91,0,Moderate,Summer,1,0.949
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2008-07-07,2008,7,7,189,22.08,6.7,43.7,26.93,4.08,0,Moderate,Summer,1,0.938
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2023-04-09,2023,4,9,99,4.22,5.3,22.98,9.34,3.6,0,Moderate,Spring,0,0.962
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2009-11-30,2009,11,30,334,8.8,3.66,31.38,28.15,2.72,0,Low,Autumn,0,0.911
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2004-10-29,2004,10,29,303,31.64,6.11,51.38,32.47,5.27,0,High,Autumn,1,0.984
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2020-12-29,2020,12,29,364,4.22,3.52,25.72,20.48,2.5,0,Low,Winter,0,0.932
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2016-06-26,2016,6,26,178,23.84,8.14,51.76,22.94,4.81,0,Moderate,Summer,1,0.909
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2001-11-07,2001,11,7,311,7.54,3.43,26.01,30.22,2.39,0,Low,Autumn,0,0.97
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2011-01-31,2011,1,31,31,4.96,3.1,19.04,14.21,1.75,0,Low,Winter,0,0.923
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2012-07-07,2012,7,7,189,26.56,8.11,59.84,26.29,4.87,0,Moderate,Summer,1,0.906
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2014-05-09,2014,5,9,129,6.55,6.26,25.6,13.21,3.66,0,Moderate,Spring,0,0.914
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2005-04-09,2005,4,9,99,4.93,5.59,25.56,10.99,2.15,0,Low,Spring,0,0.944
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2003-01-04,2003,1,4,4,6.05,3.21,24.0,17.72,1.8,0,Low,Winter,0,0.937
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2006-08-02,2006,8,2,214,24.52,6.82,56.45,29.42,4.82,0,Moderate,Summer,1,0.912
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2023-02-09,2023,2,9,40,14.43,4.59,27.74,16.63,3.47,0,Moderate,Winter,0,0.905
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2007-02-06,2007,2,6,37,2.29,2.05,13.41,14.93,1.34,0,Low,Winter,0,0.889
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2003-02-19,2003,2,19,50,6.98,2.89,10.37,11.1,1.99,0,Low,Winter,0,0.936
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2004-09-03,2004,9,3,247,28.99,6.56,58.78,37.9,4.88,0,Moderate,Autumn,1,0.928
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2009-05-31,2009,5,31,151,12.47,6.0,34.63,17.51,4.06,0,Moderate,Spring,0,0.889
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2008-02-09,2008,2,9,40,5.96,3.2,22.77,10.8,2.3,0,Low,Winter,0,0.96
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2008-03-05,2008,3,5,65,3.38,2.72,16.4,9.08,1.4,0,Low,Spring,0,0.925
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2014-05-03,2014,5,3,123,4.69,5.6,29.59,10.06,2.82,0,Low,Spring,0,0.961
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2010-10-31,2010,10,31,304,32.32,6.26,51.29,30.43,4.66,0,Moderate,Autumn,1,0.958
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2001-04-15,2001,4,15,105,3.37,4.7,15.9,5.75,3.32,0,Moderate,Spring,0,0.954
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2018-08-22,2018,8,22,234,24.97,6.97,54.73,36.16,4.77,0,Moderate,Summer,1,0.919
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2017-04-30,2017,4,30,120,8.18,6.18,25.14,12.16,3.27,0,Moderate,Spring,0,0.977
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2001-11-18,2001,11,18,322,9.26,3.2,33.23,29.85,2.92,0,Low,Autumn,0,0.911
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2005-09-01,2005,9,1,244,30.69,8.22,61.66,33.03,5.83,0,High,Autumn,1,0.944
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2017-04-24,2017,4,24,114,9.46,5.9,25.62,9.2,2.7,0,Low,Spring,0,0.929
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2013-12-01,2013,12,1,335,8.33,3.08,22.59,27.85,2.23,0,Low,Winter,0,0.884
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2002-11-11,2002,11,11,315,7.16,3.07,27.68,28.98,1.81,0,Low,Autumn,0,0.927
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2003-12-05,2003,12,5,339,13.36,5.22,33.02,28.48,3.26,0,Moderate,Winter,0,0.95
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2004-06-07,2004,6,7,159,17.99,6.96,51.06,18.18,4.49,0,Moderate,Summer,1,0.89
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2015-11-12,2015,11,12,316,3.37,2.45,26.6,31.58,2.49,0,Low,Autumn,0,0.892
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2000-06-20,2000,6,20,172,17.11,6.83,51.39,18.28,4.36,0,Moderate,Summer,1,0.932
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2000-02-27,2000,2,27,58,6.65,3.15,17.58,12.03,2.27,0,Low,Winter,0,0.953
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2007-01-12,2007,1,12,12,5.31,2.12,16.03,18.99,1.54,0,Low,Winter,0,0.928
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2015-02-13,2015,2,13,44,8.94,3.15,17.05,12.88,1.0,0,Low,Winter,0,0.99
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2000-05-12,2000,5,12,133,8.29,5.41,37.0,14.86,3.58,0,Moderate,Spring,0,0.904
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2015-09-07,2015,9,7,250,28.88,5.88,58.99,39.05,4.65,0,Moderate,Autumn,1,0.96
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2005-10-28,2005,10,28,301,33.32,6.14,54.98,30.31,5.3,0,High,Autumn,1,0.966
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2016-02-09,2016,2,9,40,4.02,2.85,21.82,11.67,1.9,0,Low,Winter,0,0.929
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2002-11-08,2002,11,8,312,3.81,2.48,25.18,29.71,1.82,0,Low,Autumn,0,0.886
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2011-11-03,2011,11,3,307,5.77,3.12,21.87,35.58,2.3,0,Low,Autumn,0,0.96
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2008-10-14,2008,10,14,288,31.69,8.61,52.14,35.05,5.47,0,High,Autumn,1,0.983
